# Configuration setting
# https://github.com/riscv/riscv-v-spec/blob/master/vcfg-format.adoc
vsetivli          | r | zimm10 zimm rd    | 11...............111.....1010111
vsetvli           | r | zimm11 rs1 rd     | 0................111.....1010111
vsetvl            | r | rs2 rs1 rd        | 1000000..........111.....1010111

#
# Vector Loads and Store
# https://github.com/riscv/riscv-v-spec/blob/master/vmem-format.adoc
#
# Vector Unit-Stride Instructions (including segment part)
# https://github.com/riscv/riscv-v-spec/blob/master/v-spec.adoc#74-vector-unit-stride-instructions
vlm.v             | r | rs1 vd            | 000000101011.....000.....0000111
vsm.v             | r | rs1 vs3           | 000000101011.....000.....0100111
vle8.v            | r | nf vm rs1 vd      | ...000.00000.....000.....0000111
vle16.v           | r | nf vm rs1 vd      | ...000.00000.....101.....0000111
vle32.v           | r | nf vm rs1 vd      | ...000.00000.....110.....0000111
vle64.v           | r | nf vm rs1 vd      | ...000.00000.....111.....0000111
vse8.v            | r | nf vm rs1 vs3     | ...000.00000.....000.....0100111
vse16.v           | r | nf vm rs1 vs3     | ...000.00000.....101.....0100111
vse32.v           | r | nf vm rs1 vs3     | ...000.00000.....110.....0100111
vse64.v           | r | nf vm rs1 vs3     | ...000.00000.....111.....0100111

# Vector Indexed-Unordered Instructions (including segment part)
# https://github.com/riscv/riscv-v-spec/blob/master/v-spec.adoc#76-vector-indexed-instructions
vluxei8.v         | r | nf vm vs2 rs1 vd  | ...001...........000.....0000111
vluxei16.v        | r | nf vm vs2 rs1 vd  | ...001...........101.....0000111
vluxei32.v        | r | nf vm vs2 rs1 vd  | ...001...........110.....0000111
vluxei64.v        | r | nf vm vs2 rs1 vd  | ...001...........111.....0000111
vsuxei8.v         | r | nf vm vs2 rs1 vs3 | ...001...........000.....0100111
vsuxei16.v        | r | nf vm vs2 rs1 vs3 | ...001...........101.....0100111
vsuxei32.v        | r | nf vm vs2 rs1 vs3 | ...001...........110.....0100111
vsuxei64.v        | r | nf vm vs2 rs1 vs3 | ...001...........111.....0100111

# Vector Strided Instructions (including segment part)
# https://github.com/riscv/riscv-v-spec/blob/master/v-spec.adoc#75-vector-strided-instructions
vlse8.v           | r | nf vm rs2 rs1 vd  | ...010...........000.....0000111
vlse16.v          | r | nf vm rs2 rs1 vd  | ...010...........101.....0000111
vlse32.v          | r | nf vm rs2 rs1 vd  | ...010...........110.....0000111
vlse64.v          | r | nf vm rs2 rs1 vd  | ...010...........111.....0000111
vsse8.v           | r | nf vm rs2 rs1 vs3 | ...010...........000.....0100111
vsse16.v          | r | nf vm rs2 rs1 vs3 | ...010...........101.....0100111
vsse32.v          | r | nf vm rs2 rs1 vs3 | ...010...........110.....0100111
vsse64.v          | r | nf vm rs2 rs1 vs3 | ...010...........111.....0100111

# Vector Indexed-Ordered Instructions (including segment part)
# https://github.com/riscv/riscv-v-spec/blob/master/v-spec.adoc#76-vector-indexed-instructions
vloxei8.v         | r | nf vm vs2 rs1 vd  | ...011...........000.....0000111
vloxei16.v        | r | nf vm vs2 rs1 vd  | ...011...........101.....0000111
vloxei32.v        | r | nf vm vs2 rs1 vd  | ...011...........110.....0000111
vloxei64.v        | r | nf vm vs2 rs1 vd  | ...011...........111.....0000111
vsoxei8.v         | r | nf vm vs2 rs1 vs3 | ...011...........000.....0100111
vsoxei16.v        | r | nf vm vs2 rs1 vs3 | ...011...........101.....0100111
vsoxei32.v        | r | nf vm vs2 rs1 vs3 | ...011...........110.....0100111
vsoxei64.v        | r | nf vm vs2 rs1 vs3 | ...011...........111.....0100111

# Unit-stride F31..29=0ault-Only-First Loads
# https://github.com/riscv/riscv-v-spec/blob/master/v-spec.adoc#77-unit-stride-fault-only-first-loads
vle8ff.v          | r | nf vm rs1 vd      | ...000.10000.....000.....0000111
vle16ff.v         | r | nf vm rs1 vd      | ...000.10000.....101.....0000111
vle32ff.v         | r | nf vm rs1 vd      | ...000.10000.....110.....0000111
vle64ff.v         | r | nf vm rs1 vd      | ...000.10000.....111.....0000111

# Vector Load/Store Whole Registers
# https://github.com/riscv/riscv-v-spec/blob/master/v-spec.adoc#79-vector-loadstore-whole-register-instructions
vl1re8.v          | r | rs1 vd            | 000000101000.....000.....0000111
vl1re16.v         | r | rs1 vd            | 000000101000.....101.....0000111
vl1re32.v         | r | rs1 vd            | 000000101000.....110.....0000111
vl1re64.v         | r | rs1 vd            | 000000101000.....111.....0000111
vl2re8.v          | r | rs1 vd            | 001000101000.....000.....0000111
vl2re16.v         | r | rs1 vd            | 001000101000.....101.....0000111
vl2re32.v         | r | rs1 vd            | 001000101000.....110.....0000111
vl2re64.v         | r | rs1 vd            | 001000101000.....111.....0000111
vl4re8.v          | r | rs1 vd            | 011000101000.....000.....0000111
vl4re16.v         | r | rs1 vd            | 011000101000.....101.....0000111
vl4re32.v         | r | rs1 vd            | 011000101000.....110.....0000111
vl4re64.v         | r | rs1 vd            | 011000101000.....111.....0000111
vl8re8.v          | r | rs1 vd            | 111000101000.....000.....0000111
vl8re16.v         | r | rs1 vd            | 111000101000.....101.....0000111
vl8re32.v         | r | rs1 vd            | 111000101000.....110.....0000111
vl8re64.v         | r | rs1 vd            | 111000101000.....111.....0000111
vs1r.v            | r | rs1 vs3           | 000000101000.....000.....0100111
vs2r.v            | r | rs1 vs3           | 001000101000.....000.....0100111
vs4r.v            | r | rs1 vs3           | 011000101000.....000.....0100111
vs8r.v            | r | rs1 vs3           | 111000101000.....000.....0100111

# Vector Floating-Point Instructions
# https://github.com/riscv/riscv-v-spec/blob/master/v-spec.adoc#14-vector-floating-point-instructions
# OPFVF
vfadd.vf          | r | vm vs2 rs1 vd     | 000000...........101.....1010111
vfsub.vf          | r | vm vs2 rs1 vd     | 000010...........101.....1010111
vfmin.vf          | r | vm vs2 rs1 vd     | 000100...........101.....1010111
vfmax.vf          | r | vm vs2 rs1 vd     | 000110...........101.....1010111
vfsgnj.vf         | r | vm vs2 rs1 vd     | 001000...........101.....1010111
vfsgnjn.vf        | r | vm vs2 rs1 vd     | 001001...........101.....1010111
vfsgnjx.vf        | r | vm vs2 rs1 vd     | 001010...........101.....1010111
vfslide1up.vf     | r | vm vs2 rs1 vd     | 001110...........101.....1010111
vfslide1down.vf   | r | vm vs2 rs1 vd     | 001111...........101.....1010111
vfmv.s.f          | r | rs1 vd            | 010000100000.....101.....1010111

vfmerge.vfm       | r | vs2 rs1 vd        | 0101110..........101.....1010111
vfmv.v.f          | r | rs1 vd            | 010111100000.....101.....1010111
vmfeq.vf          | r | vm vs2 rs1 vd     | 011000...........101.....1010111
vmfle.vf          | r | vm vs2 rs1 vd     | 011001...........101.....1010111
vmflt.vf          | r | vm vs2 rs1 vd     | 011011...........101.....1010111
vmfne.vf          | r | vm vs2 rs1 vd     | 011100...........101.....1010111
vmfgt.vf          | r | vm vs2 rs1 vd     | 011101...........101.....1010111
vmfge.vf          | r | vm vs2 rs1 vd     | 011111...........101.....1010111

vfdiv.vf          | r | vm vs2 rs1 vd     | 100000...........101.....1010111
vfrdiv.vf         | r | vm vs2 rs1 vd     | 100001...........101.....1010111
vfmul.vf          | r | vm vs2 rs1 vd     | 100100...........101.....1010111
vfrsub.vf         | r | vm vs2 rs1 vd     | 100111...........101.....1010111
vfmadd.vf         | r | vm vs2 rs1 vd     | 101000...........101.....1010111
vfnmadd.vf        | r | vm vs2 rs1 vd     | 101001...........101.....1010111
vfmsub.vf         | r | vm vs2 rs1 vd     | 101010...........101.....1010111
vfnmsub.vf        | r | vm vs2 rs1 vd     | 101011...........101.....1010111
vfmacc.vf         | r | vm vs2 rs1 vd     | 101100...........101.....1010111
vfnmacc.vf        | r | vm vs2 rs1 vd     | 101101...........101.....1010111
vfmsac.vf         | r | vm vs2 rs1 vd     | 101110...........101.....1010111
vfnmsac.vf        | r | vm vs2 rs1 vd     | 101111...........101.....1010111

vfwadd.vf         | r | vm vs2 rs1 vd     | 110000...........101.....1010111
vfwsub.vf         | r | vm vs2 rs1 vd     | 110010...........101.....1010111
vfwadd.wf         | r | vm vs2 rs1 vd     | 110100...........101.....1010111
vfwsub.wf         | r | vm vs2 rs1 vd     | 110110...........101.....1010111
vfwmul.vf         | r | vm vs2 rs1 vd     | 111000...........101.....1010111
vfwmacc.vf        | r | vm vs2 rs1 vd     | 111100...........101.....1010111
vfwnmacc.vf       | r | vm vs2 rs1 vd     | 111101...........101.....1010111
vfwmsac.vf        | r | vm vs2 rs1 vd     | 111110...........101.....1010111
vfwnmsac.vf       | r | vm vs2 rs1 vd     | 111111...........101.....1010111

# OPFVV
vfadd.vv          | r | vm vs2 vs1 vd     | 000000...........001.....1010111
vfredusum.vs      | r | vm vs2 vs1 vd     | 000001...........001.....1010111
vfsub.vv          | r | vm vs2 vs1 vd     | 000010...........001.....1010111
vfredosum.vs      | r | vm vs2 vs1 vd     | 000011...........001.....1010111
vfmin.vv          | r | vm vs2 vs1 vd     | 000100...........001.....1010111
vfredmin.vs       | r | vm vs2 vs1 vd     | 000101...........001.....1010111
vfmax.vv          | r | vm vs2 vs1 vd     | 000110...........001.....1010111
vfredmax.vs       | r | vm vs2 vs1 vd     | 000111...........001.....1010111
vfsgnj.vv         | r | vm vs2 vs1 vd     | 001000...........001.....1010111
vfsgnjn.vv        | r | vm vs2 vs1 vd     | 001001...........001.....1010111
vfsgnjx.vv        | r | vm vs2 vs1 vd     | 001010...........001.....1010111
vfmv.f.s          | r | vs2 rd            | 0100001.....00000001.....1010111

